,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths,Year,value
0,2021-05-27,0-9,21266,19931.0,5649.0,1,1.0,0.0,2021,0.0
1,2021-05-28,0-9,21298,19963.0,5658.0,1,1.0,0.0,2021,0.0
2,2021-06-01,0-9,21335,19988.0,5667.0,1,1.0,0.0,2021,0.0
3,2021-06-02,0-9,21343,19992.0,5670.0,1,1.0,0.0,2021,0.0
4,2021-06-03,0-9,21359,20006.0,5674.0,1,1.0,0.0,2021,0.0
5,2021-06-04,0-9,21378,20017.0,5679.0,1,1.0,0.0,2021,0.0
6,2021-06-07,0-9,21403,20040.0,5686.0,1,1.0,0.0,2021,0.0
7,2021-06-08,0-9,21407,20043.0,5687.0,1,1.0,0.0,2021,0.0
8,2021-08-30,0-9,23967,22302.0,6367.0,1,1.0,0.0,2021,0.0
9,2021-08-31,0-9,24087,22407.0,6398.0,1,1.0,0.0,2021,0.0
10,2021-09-01,0-9,24166,22481.0,6419.0,1,1.0,0.0,2021,0.0
11,2021-09-02,0-9,24265,22570.0,6446.0,1,1.0,0.0,2021,0.0
12,2021-09-03,0-9,24352,22652.0,6469.0,1,1.0,0.0,2021,0.0
13,2021-09-07,0-9,24550,22839.0,6521.0,1,1.0,0.0,2021,0.0
14,2021-09-08,0-9,24650,22912.0,6548.0,1,1.0,0.0,2021,0.0
15,2021-06-09,0-9,21413,20046.0,5688.0,1,1.0,0.0,2021,0.0
16,2021-06-10,0-9,21423,20056.0,5691.0,1,1.0,0.0,2021,0.0
17,2021-06-11,0-9,21429,20062.0,5692.0,1,1.0,0.0,2021,0.0
18,2021-06-14,0-9,21441,20072.0,5696.0,1,1.0,0.0,2021,0.0
19,2021-06-15,0-9,21444,20074.0,5696.0,1,1.0,0.0,2021,0.0
20,2021-06-16,0-9,21447,20076.0,5697.0,1,1.0,0.0,2021,0.0
21,2021-06-17,0-9,21450,20079.0,5698.0,1,1.0,0.0,2021,0.0
22,2021-06-18,0-9,21461,20089.0,5701.0,1,1.0,0.0,2021,0.0
23,2021-12-08,0-9,31479,29302.0,8362.0,1,1.0,0.0,2021,0.0
24,2021-12-09,0-9,31781,29563.0,8442.0,1,1.0,0.0,2021,0.0
25,2021-12-10,0-9,32254,30012.0,8568.0,1,1.0,0.0,2021,0.0
26,2021-12-13,0-9,33071,30426.0,8785.0,1,1.0,0.0,2021,0.0
27,2021-12-14,0-9,33444,30738.0,8884.0,1,1.0,0.0,2021,0.0
28,2021-12-15,0-9,33692,30936.0,8950.0,1,1.0,0.0,2021,0.0
29,2021-06-21,0-9,21472,20099.0,5704.0,1,1.0,0.0,2021,0.0
30,2021-06-22,0-9,21479,20107.0,5706.0,1,1.0,0.0,2021,0.0
31,2021-06-23,0-9,21482,20110.0,5706.0,1,1.0,0.0,2021,0.0
32,2021-06-24,0-9,21499,20124.0,5711.0,1,1.0,0.0,2021,0.0
33,2021-06-25,0-9,21508,20132.0,5713.0,1,1.0,0.0,2021,0.0
34,2021-06-28,0-9,21522,20142.0,5717.0,1,1.0,0.0,2021,0.0
35,2021-06-29,0-9,21525,20144.0,5718.0,1,1.0,0.0,2021,0.0
36,2021-06-30,0-9,21530,20148.0,5719.0,1,1.0,0.0,2021,0.0
37,2021-09-09,0-9,24771,23016.0,6580.0,1,1.0,0.0,2021,0.0
38,2021-09-10,0-9,24854,23096.0,6602.0,1,1.0,0.0,2021,0.0
39,2021-09-13,0-9,25008,23225.0,6643.0,1,1.0,0.0,2021,0.0
40,2021-09-14,0-9,25119,23329.0,6673.0,1,1.0,0.0,2021,0.0
41,2021-09-15,0-9,25165,23367.0,6685.0,1,1.0,0.0,2021,0.0
42,2021-09-16,0-9,25297,23456.0,6720.0,1,1.0,0.0,2021,0.0
43,2021-09-17,0-9,25542,23644.0,6785.0,1,1.0,0.0,2021,0.0
44,2021-07-01,0-9,21534,20151.0,5720.0,1,1.0,0.0,2021,0.0
45,2021-07-02,0-9,21542,20156.0,5722.0,1,1.0,0.0,2021,0.0
46,2021-07-06,0-9,21552,20165.0,5725.0,1,1.0,0.0,2021,0.0
47,2021-07-07,0-9,21563,20174.0,5728.0,1,1.0,0.0,2021,0.0
48,2021-07-08,0-9,21566,20176.0,5729.0,1,1.0,0.0,2021,0.0
49,2021-07-09,0-9,21583,20191.0,5733.0,1,1.0,0.0,2021,0.0
50,2021-07-12,0-9,21589,20196.0,5735.0,1,1.0,0.0,2021,0.0
51,2021-07-13,0-9,21600,20208.0,5738.0,1,1.0,0.0,2021,0.0
52,2021-07-14,0-9,21623,20227.0,5744.0,1,1.0,0.0,2021,0.0
53,2021-07-15,0-9,21635,20233.0,5747.0,1,1.0,0.0,2021,0.0
54,2021-07-16,0-9,21645,20240.0,5750.0,1,1.0,0.0,2021,0.0
55,2021-07-19,0-9,21685,20274.0,5760.0,1,1.0,0.0,2021,0.0
56,2021-07-20,0-9,21702,20290.0,5765.0,1,1.0,0.0,2021,0.0
57,2021-07-21,0-9,21733,20315.0,5773.0,1,1.0,0.0,2021,0.0
58,2021-07-22,0-9,21767,20347.0,5782.0,1,1.0,0.0,2021,0.0
59,2021-07-23,0-9,21787,20365.0,5788.0,1,1.0,0.0,2021,0.0
60,2021-09-20,0-9,25767,23860.0,6845.0,1,1.0,0.0,2021,0.0
61,2021-09-21,0-9,25819,23911.0,6859.0,2,1.0,1.0,2021,0.0
62,2021-09-22,0-9,25904,23994.0,6881.0,2,1.0,1.0,2021,0.0
63,2021-09-23,0-9,25990,24076.0,6904.0,1,1.0,0.0,2021,0.0
64,2021-09-24,0-9,26051,24132.0,6920.0,1,1.0,0.0,2021,0.0
65,2021-09-27,0-9,26229,24269.0,6967.0,1,1.0,0.0,2021,0.0
66,2021-09-28,0-9,26294,24330.0,6985.0,1,1.0,0.0,2021,0.0
67,2021-07-26,0-9,21846,20417.0,5803.0,1,1.0,0.0,2021,0.0
68,2021-07-27,0-9,21899,20463.0,5817.0,1,1.0,0.0,2021,0.0
69,2021-07-28,0-9,21940,20499.0,5828.0,1,1.0,0.0,2021,0.0
70,2021-07-29,0-9,21976,20532.0,5838.0,1,1.0,0.0,2021,0.0
71,2021-07-30,0-9,22031,20581.0,5852.0,1,1.0,0.0,2021,0.0
72,2021-08-02,0-9,22162,20693.0,5887.0,1,1.0,0.0,2021,0.0
73,2021-08-03,0-9,22214,20743.0,5901.0,1,1.0,0.0,2021,0.0
74,2021-08-04,0-9,22273,20787.0,5917.0,1,1.0,0.0,2021,0.0
75,2021-12-16,0-9,33977,31212.0,9026.0,1,1.0,0.0,2021,0.0
76,2021-12-17,0-9,34182,31401.0,9080.0,1,1.0,0.0,2021,0.0
77,2021-12-20,0-9,35032,32225.0,9306.0,1,1.0,0.0,2021,0.0
78,2021-12-21,0-9,35740,32864.0,9494.0,1,1.0,0.0,2021,0.0
79,2021-12-22,0-9,36163,33269.0,9606.0,1,1.0,0.0,2021,0.0
80,2021-12-23,0-9,36507,33586.0,9698.0,1,1.0,0.0,2021,0.0
81,2021-08-05,0-9,22367,20877.0,5942.0,1,1.0,0.0,2021,0.0
82,2021-08-06,0-9,22440,20933.0,5961.0,1,1.0,0.0,2021,0.0
83,2021-08-09,0-9,22585,21059.0,6000.0,1,1.0,0.0,2021,0.0
84,2021-08-10,0-9,22607,21082.0,6005.0,1,1.0,0.0,2021,0.0
85,2021-08-11,0-9,22685,21150.0,6026.0,1,1.0,0.0,2021,0.0
