,Country,Date Start,Description of measure implemented
1398,US:New York,"Mar 31, 2020","In March 30, 2020, the U.S. Navy medical ship USNS Comfort arrived in New York City to assist with non-COVID operations, relieving land hospitals to stop the city's growing COVID-19 pandemic"
1588,US: Massachussets,"Mar 31, 2020","The DCU Center was set up as a field hospital for recovering COVID-19 patients,"
1601,Brazil,"Mar 31, 2020",Mechanical Turk data n=70
1521,Czechia,"Mar 31, 2020","From Tuesday, March 31, 2020, from 12:00 am, all citizens of the Czech Republic and foreigners authorized to stay in the Czech Republic for more than 90 days will be compulsorily ordered a home quarantine for 14 days after returning to the Czech Republic regardless of the country from which are coming back."
110,Hong Kong,"Mar 30, 2020","Three people who broke their quarantine conditions were jailed on Monday. 
Wong breached the quarantine order because he was bored staying indoors and hewas sentenced of six weeks in jail. 
Xie was sentenced to ten days in prison after he was caught trying to cross the border back to the mainland at the Shenzhen Bay crossing. 
A 31-year-old man was jailed for three months for giving a fake address when ordered to self-quarantine after returning from the mainland."
1639,US:Hawaii,"Mar 30, 2020","launching the “Stay Healthy, Stay at Home” campaign"
1693,US: Rhode Island,"Mar 30, 2020","Raimondo announces Rhode Island school buildings will be closed through the end of April, with classes continuing through distance learning"
991,US:Maryland,"Mar 30, 2020","Maryland medical facilities, educational institutions, and businesses disseminated guidance from the Centers for Disease Control and Prevention"
1653,US:Kansas,"Mar 30, 2020",issued a statewide stay-at-home order
1666,US:Kentucky,"Mar 30, 2020",travel to other US states banned
107,Hong Kong,"Mar 29, 2020","Hong Kong reports 59 confirmed cases, bringing total to 641 confirmed cases. 43 people have travel history. "
1544,US: Connecticut,"Mar 28, 2020",the CDC advised residents of the region not to travel except for essential purposes
1460,South Korea,"Mar 28, 2020",Arrival national passengers from Europe & US who do not have access to own car- govt will support designated airport limousine bus and bullet train compartment. 
1620,Brazil,"Mar 28, 2020","The health minister, Henrique Mandetta, changed this Saturday the tone again of his declarations on social isolation. On Wednesday, he had adjusted his speech to that of President Jair Bolsonaro, opposed to a more general isolation and favorable to the isolation only of chronic patients and the elderly and people aged 60 and over. Although it was not direct and explicit, on Saturday Mandetta was more emphatic in advocating that people who can stay at home. He justified his defense that people should stay at home so that the health system is not overburdened, increasing the lethality of Covid 19 due to lack of beds and ICU."
1387,US:New York,"Mar 28, 2020","Governor Cuomo announces that New York State's 2020 Democratic Primary, originally scheduled for April 28 will be postponed until June 23rd"
1452,US:Alaska,"Mar 28, 2020","all persons in Alaska, except for those engaged in essential health care services, public government services, and essential business activities, are mandated to remain at their place of residence and practice social distancing"
1453,US:Alaska,"Mar 28, 2020","all in-state travel between communities, whether resident, worker, or visitor, is prohibited unless travel is to support critical infrastructure; or for critical personal needs"
1532,US: Pennsylvania,"Mar 28, 2020","Governor Tom Wolf issued a stay-at-home order for Beaver, Butler, Westmoreland, Centre, and Washington Counties"
