,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
0,5/27/2021,0-9,21266,19931.0,5649.0,1,1.0,0.0
2,5/27/2021,20-29,60808,54548.0,13066.0,10,10.0,0.0
3,5/27/2021,30-39,53926,48970.0,12189.0,41,39.0,2.0
4,5/27/2021,40-49,48453,44467.0,11196.0,150,119.0,31.0
5,5/27/2021,50-59,51855,48017.0,9984.0,453,383.0,70.0
6,5/27/2021,60-69,34355,32182.0,7798.0,1084,934.0,150.0
7,5/27/2021,70-79,17628,16587.0,6528.0,1846,1562.0,284.0
8,5/27/2021,80+,16522,15071.0,10005.0,4642,3720.0,922.0
9,5/28/2021,0-9,21298,19963.0,5658.0,1,1.0,0.0
11,5/28/2021,20-29,60837,54570.0,13072.0,10,10.0,0.0
12,5/28/2021,30-39,53964,48995.0,12197.0,42,40.0,2.0
13,5/28/2021,40-49,48486,44498.0,11203.0,150,119.0,31.0
14,5/28/2021,50-59,51876,48034.0,9988.0,454,384.0,70.0
15,5/28/2021,60-69,34361,32185.0,7799.0,1087,936.0,151.0
16,5/28/2021,70-79,17631,16588.0,6530.0,1847,1563.0,284.0
17,5/28/2021,80+,16520,15069.0,10004.0,4644,3721.0,923.0
18,6/1/2021,0-9,21335,19988.0,5667.0,1,1.0,0.0
20,6/1/2021,20-29,60872,54599.0,13080.0,10,10.0,0.0
21,6/1/2021,30-39,54011,49039.0,12208.0,42,40.0,2.0
22,6/1/2021,40-49,48518,44522.0,11211.0,151,119.0,32.0
23,6/1/2021,50-59,51887,48040.0,9990.0,457,386.0,71.0
24,6/1/2021,60-69,34375,32198.0,7802.0,1088,937.0,151.0
25,6/1/2021,70-79,17638,16593.0,6532.0,1847,1563.0,284.0
26,6/1/2021,80+,16530,15077.0,10010.0,4645,3721.0,924.0
27,6/2/2021,0-9,21343,19992.0,5670.0,1,1.0,0.0
29,6/2/2021,20-29,60883,54602.0,13082.0,10,10.0,0.0
30,6/2/2021,30-39,54028,49045.0,12212.0,42,40.0,2.0
31,6/2/2021,40-49,48529,44531.0,11213.0,151,119.0,32.0
