,location,Year,GDP
0,Monaco,2020,"$182,539"
1,Luxembourg,2020,"$117,370"
2,Bermuda,2020,"$107,792"
3,Ireland,2020,"$85,420"
4,Switzerland,2020,"$85,656"
5,Norway,2020,"$67,330"
6,Cayman Islands,2020,"$83,329"
7,Singapore,2020,"$60,729"
8,United States,2020,"$63,531"
9,Faroe Islands,2020,"$61,980"
10,Iceland,2020,"$59,200"
11,Denmark,2020,"$60,915"
12,Qatar,2020,"$52,316"
13,Sweden,2020,"$52,838"
14,Australia,2020,"$51,720"
15,Netherlands,2020,"$52,163"
16,Finland,2020,"$49,171"
17,Austria,2020,"$48,809"
18,Israel,2020,"$44,847"
19,Canada,2020,"$43,258"
20,Belgium,2020,"$45,518"
21,Germany,2020,"$46,773"
22,Hong Kong,2020,"$46,108"
23,New Zealand,2020,"$41,597"
24,United Kingdom,2020,"$40,319"
25,UAE,2020,"$37,629"
26,Macao,2020,"$37,646"
27,France,2020,"$39,055"
28,Andorra,2020,"$37,207"
29,Japan,2020,"$39,918"
30,New Caledonia,2020,"$34,801"
31,Guam,2020,"$34,781"
32,Italy,2020,"$31,911"
33,South Korea,2020,"$31,721"
34,Malta,2020,"$28,978"
35,Puerto Rico,2020,"$31,394"
36,Cyprus,2020,"$28,036"
37,Brunei,2020,"$27,179"
38,Spain,2020,"$26,960"
39,Aruba,2020,"$24,488"
40,Slovenia,2020,"$25,545"
41,Estonia,2020,"$23,595"
42,Bahamas,2020,"$23,863"
43,Czech Republic,2020,"$22,993"
44,Bahrain,2020,"$23,502"
45,Portugal,2020,"$22,242"
46,Lithuania,2020,"$20,340"
47,Saudi Arabia,2020,"$19,540"
48,Slovak Republic,2020,"$19,546"
49,Latvia,2020,"$18,207"
50,Turks And Caicos Islands,2020,"$20,882"
51,Greece,2020,"$17,659"
52,French Polynesia,2020,"$18,910"
53,Oman,2020,"$16,708"
54,Hungary,2020,"$16,121"
55,St. Kitts And Nevis,2020,"$18,566"
56,Poland,2020,"$15,817"
57,Curacao,2020,"$16,110"
58,Croatia,2020,"$14,199"
59,Uruguay,2020,"$15,620"
60,Barbados,2020,"$16,644"
61,Chile,2020,"$13,094"
62,Trinidad And Tobago,2020,"$13,872"
63,Antigua And Barbuda,2020,"$14,788"
64,American Samoa,2020,"$15,502"
65,Romania,2020,"$13,047"
66,Seychelles,2020,"$12,809"
67,Panama,2020,"$12,569"
68,China,2020,"$10,409"
69,Costa Rica,2020,"$12,133"
70,Bulgaria,2020,"$10,130"
71,Russia,2020,"$10,169"
72,Palau,2020,"$14,016"
73,Malaysia,2020,"$10,161"
74,Nauru,2020,"$9,308"
75,Argentina,2020,"$8,496"
76,Kazakhstan,2020,"$9,122"
77,Maldives,2020,"$7,282"
78,Mexico,2020,"$8,655"
79,Guyana,2020,"$6,863"
80,Turkey,2020,"$8,561"
81,Montenegro,2020,"$7,677"
82,St. Lucia,2020,"$8,458"
83,Serbia,2020,"$7,734"
84,Mauritius,2020,"$9,007"
85,Grenada,2020,"$8,438"
86,St. Vincent And The Grenadines,2020,"$8,335"
87,Gabon,2020,"$6,680"
88,Dominican Republic,2020,"$7,168"
89,Dominica,2020,"$7,003"
90,Brazil,2020,"$6,794"
91,Equatorial Guinea,2020,"$6,328"
92,Belarus,2020,"$6,543"
93,Bosnia,2020,"$6,012"
94,Thailand,2020,"$6,991"
95,South Africa,2020,"$5,742"
96,Botswana,2020,"$5,863"
97,North Macedonia,2020,"$5,965"
98,Peru,2020,"$6,056"
99,Albania,2020,"$5,332"
100,Libya,2020,"$7,568"
101,Belize,2020,"$5,267"
102,Marshall Islands,2020,"$5,568"
103,Colombia,2020,"$5,307"
104,Ecuador,2020,"$5,645"
105,Paraguay,2020,"$5,353"
106,Tuvalu,2020,"$4,974"
107,Azerbaijan,2020,"$4,230"
108,Kosovo,2020,"$4,311"
